instant,dteday,season,temp,atemp,hum
106,05-01-11,1,0.3,0.2879,0.28
107,05-01-11,1,0.3,0.2879,0.28
108,05-01-11,1,0.3,0.3182,0.28
109,05-01-11,1,0.24,0.2273,0.38
110,05-01-11,1,0.24,0.2424,0.38
111,05-01-11,1,0.24,0.2576,0.38
112,05-01-11,1,0.22,0.2273,0.47
113,05-01-11,1,0.2,0.197,0.51
114,05-01-11,1,0.18,0.197,0.55
115,05-01-11,1,0.2,0.2576,0.47
116,06-01-11,1,0.18,0.2424,0.55
117,06-01-11,1,0.16,0.2273,0.64
118,06-01-11,1,0.16,0.2273,0.64
119,06-01-11,1,0.16,0.197,0.64
120,06-01-11,1,0.14,0.1818,0.69
121,06-01-11,1,0.14,0.1667,0.63
122,06-01-11,1,0.16,0.2273,0.59
123,06-01-11,1,0.16,0.2273,0.59
124,06-01-11,1,0.18,0.2424,0.51
125,06-01-11,1,0.2,0.2576,0.47
126,06-01-11,1,0.22,0.2576,0.44
127,06-01-11,1,0.26,0.2879,0.35
128,06-01-11,1,0.26,0.2727,0.35
129,06-01-11,1,0.28,0.2727,0.36
130,06-01-11,1,0.28,0.2727,0.36
131,06-01-11,1,0.26,0.2576,0.38
132,06-01-11,1,0.22,0.2273,0.51
133,06-01-11,1,0.22,0.2273,0.51
134,06-01-11,1,0.22,0.2576,0.55
135,06-01-11,1,0.2,0.2121,0.51
136,06-01-11,1,0.22,0.2121,0.55
137,06-01-11,1,0.22,0.2121,0.51
138,06-01-11,1,0.2,0.197,0.59
139,07-01-11,1,0.2,0.197,0.64
140,07-01-11,1,0.2,0.197,0.69
141,07-01-11,1,0.2,0.197,0.69
142,07-01-11,1,0.2,0.2121,0.69
143,07-01-11,1,0.22,0.2727,0.55
144,07-01-11,1,0.2,0.2576,0.69
145,07-01-11,1,0.2,0.2121,0.69
146,07-01-11,1,0.2,0.197,0.51
147,07-01-11,1,0.2,0.1818,0.47
148,07-01-11,1,0.22,0.197,0.37
149,07-01-11,1,0.2,0.197,0.4
150,07-01-11,1,0.2,0.197,0.37
151,07-01-11,1,0.2,0.1818,0.37
152,07-01-11,1,0.2,0.197,0.4
153,07-01-11,1,0.2,0.2121,0.37
154,07-01-11,1,0.2,0.2121,0.37
155,07-01-11,1,0.2,0.2576,0.37
156,07-01-11,1,0.2,0.2273,0.4
157,07-01-11,1,0.16,0.197,0.55
158,07-01-11,1,0.18,0.2121,0.47
159,07-01-11,1,0.18,0.197,0.47
160,07-01-11,1,0.18,0.197,0.43
161,07-01-11,1,0.18,0.197,0.51
162,08-01-11,1,0.18,0.197,0.51
163,08-01-11,1,0.18,0.2121,0.55
164,08-01-11,1,0.18,0.2424,0.55
165,08-01-11,1,0.18,0.197,0.55
166,08-01-11,1,0.18,0.197,0.55
167,08-01-11,1,0.16,0.1667,0.74
168,08-01-11,1,0.16,0.1667,0.74
169,08-01-11,1,0.16,0.1818,0.74
170,08-01-11,1,0.16,0.1818,0.93
171,08-01-11,1,0.16,0.1818,0.93
172,08-01-11,1,0.18,0.197,0.8
173,08-01-11,1,0.2,0.1818,0.69
174,08-01-11,1,0.2,0.1818,0.59
175,08-01-11,1,0.2,0.1818,0.44
176,08-01-11,1,0.2,0.1667,0.32
177,08-01-11,1,0.2,0.1667,0.32
178,08-01-11,1,0.18,0.1364,0.29
179,08-01-11,1,0.16,0.1212,0.37
180,08-01-11,1,0.14,0.1212,0.39
181,08-01-11,1,0.14,0.1212,0.36
182,08-01-11,1,0.12,0.1212,0.36
183,08-01-11,1,0.12,0.1061,0.39
184,08-01-11,1,0.12,0.1061,0.36
185,08-01-11,1,0.1,0.0606,0.39
186,09-01-11,1,0.1,0.0758,0.42
187,09-01-11,1,0.1,0.0606,0.42
188,09-01-11,1,0.1,0.0606,0.46
189,09-01-11,1,0.1,0.0758,0.46
190,09-01-11,1,0.08,0.0909,0.53
191,09-01-11,1,0.08,0.0909,0.53
192,09-01-11,1,0.1,0.0909,0.49
193,09-01-11,1,0.08,0.0909,0.53
194,09-01-11,1,0.1,0.0909,0.49
195,09-01-11,1,0.12,0.0758,0.46
196,09-01-11,1,0.14,0.1061,0.43
197,09-01-11,1,0.16,0.1212,0.4
198,09-01-11,1,0.18,0.1364,0.37
199,09-01-11,1,0.2,0.1667,0.34
200,09-01-11,1,0.22,0.1818,0.32
201,09-01-11,1,0.22,0.197,0.35
202,09-01-11,1,0.2,0.1667,0.34
203,09-01-11,1,0.18,0.1515,0.37
204,09-01-11,1,0.16,0.1364,0.4
205,09-01-11,1,0.16,0.1364,0.43
206,09-01-11,1,0.14,0.1212,0.46
207,09-01-11,1,0.14,0.1061,0.46
208,09-01-11,1,0.14,0.1212,0.46
209,09-01-11,1,0.12,0.1364,0.5
210,10-01-11,1,0.12,0.1212,0.5
211,10-01-11,1,0.12,0.1212,0.5
212,10-01-11,1,0.12,0.1212,0.5
213,10-01-11,1,0.12,0.1212,0.5
214,10-01-11,1,0.1,0.1212,0.54
215,10-01-11,1,0.1,0.1061,0.54
216,10-01-11,1,0.12,0.1212,0.5
217,10-01-11,1,0.12,0.1212,0.5
218,10-01-11,1,0.12,0.1212,0.5
219,10-01-11,1,0.14,0.1212,0.5
220,10-01-11,1,0.14,0.1212,0.5
221,10-01-11,1,0.16,0.1364,0.47
222,10-01-11,1,0.2,0.1818,0.4
223,10-01-11,1,0.2,0.1818,0.4
224,10-01-11,1,0.2,0.197,0.4
225,10-01-11,1,0.2,0.197,0.4
226,10-01-11,1,0.2,0.2121,0.4
227,10-01-11,1,0.2,0.2273,0.4
228,10-01-11,1,0.2,0.197,0.4
229,10-01-11,1,0.16,0.1667,0.47
230,10-01-11,1,0.16,0.1667,0.5
231,10-01-11,1,0.14,0.1364,0.59
232,10-01-11,1,0.14,0.1515,0.59
233,10-01-11,1,0.14,0.1515,0.59
234,11-01-11,1,0.14,0.1667,0.59
235,11-01-11,1,0.14,0.1515,0.59
236,11-01-11,1,0.16,0.1515,0.55
237,11-01-11,1,0.16,0.1818,0.55
238,11-01-11,1,0.16,0.1818,0.55
239,11-01-11,1,0.16,0.2273,0.55
240,11-01-11,1,0.18,0.2121,0.51
241,11-01-11,1,0.18,0.197,0.51
242,11-01-11,1,0.2,0.2121,0.51
243,11-01-11,1,0.2,0.2121,0.47
244,11-01-11,1,0.2,0.2273,0.51
245,11-01-11,1,0.2,0.2273,0.59
246,11-01-11,1,0.2,0.2273,0.59
247,11-01-11,1,0.16,0.197,0.8
248,11-01-11,1,0.16,0.1515,0.86
249,11-01-11,1,0.16,0.1515,0.86
250,11-01-11,1,0.16,0.1818,0.93
251,11-01-11,1,0.16,0.2273,0.93
252,11-01-11,1,0.16,0.1515,0.93
253,11-01-11,1,0.16,0.197,0.86
254,11-01-11,1,0.16,0.1818,0.93
255,11-01-11,1,0.16,0.197,0.93
256,12-01-11,1,0.16,0.197,0.86
257,12-01-11,1,0.16,0.1818,0.86
258,12-01-11,1,0.14,0.1515,0.86
259,12-01-11,1,0.14,0.1515,0.86
260,12-01-11,1,0.12,0.1515,0.93
261,12-01-11,1,0.14,0.1515,0.69
262,12-01-11,1,0.16,0.1667,0.59
263,12-01-11,1,0.16,0.1364,0.59
264,12-01-11,1,0.18,0.1818,0.55
265,12-01-11,1,0.2,0.1818,0.51
266,12-01-11,1,0.2,0.1515,0.47
267,12-01-11,1,0.22,0.197,0.44
268,12-01-11,1,0.2,0.1818,0.47
269,12-01-11,1,0.2,0.1667,0.47
270,12-01-11,1,0.22,0.197,0.44
271,12-01-11,1,0.2,0.1818,0.47
272,12-01-11,1,0.2,0.1515,0.47
273,12-01-11,1,0.18,0.1515,0.47
274,12-01-11,1,0.16,0.1364,0.5
275,12-01-11,1,0.16,0.1364,0.55
276,12-01-11,1,0.16,0.1212,0.55
277,12-01-11,1,0.14,0.1061,0.59
278,13-01-11,1,0.14,0.1212,0.59
279,13-01-11,1,0.14,0.1212,0.5
280,13-01-11,1,0.14,0.1212,0.5
281,13-01-11,1,0.14,0.1212,0.5
282,13-01-11,1,0.14,0.1212,0.5
283,13-01-11,1,0.14,0.1212,0.5
284,13-01-11,1,0.12,0.1515,0.54
285,13-01-11,1,0.12,0.1515,0.54
286,13-01-11,1,0.14,0.1364,0.5
287,13-01-11,1,0.14,0.1212,0.5
288,13-01-11,1,0.16,0.1364,0.5
289,13-01-11,1,0.2,0.1667,0.44
290,13-01-11,1,0.2,0.1667,0.44
291,13-01-11,1,0.22,0.197,0.41
292,13-01-11,1,0.22,0.197,0.41
293,13-01-11,1,0.24,0.2121,0.38
294,13-01-11,1,0.24,0.2121,0.38
295,13-01-11,1,0.2,0.1818,0.4
296,13-01-11,1,0.2,0.1818,0.4
297,13-01-11,1,0.16,0.1515,0.47
298,13-01-11,1,0.16,0.1515,0.47
299,13-01-11,1,0.14,0.1212,0.46
300,13-01-11,1,0.14,0.1212,0.46
301,13-01-11,1,0.12,0.1364,0.5
302,14-01-11,1,0.12,0.1364,0.5
303,14-01-11,1,0.1,0.1212,0.54
304,14-01-11,1,0.1,0.1212,0.54
305,14-01-11,1,0.1,0.1364,0.54
306,14-01-11,1,0.1,0.1364,0.54
307,14-01-11,1,0.1,0.1818,0.54
308,14-01-11,1,0.1,0.1212,0.74
309,14-01-11,1,0.12,0.1667,0.68
310,14-01-11,1,0.14,0.1515,0.69
311,14-01-11,1,0.18,0.1818,0.55
312,14-01-11,1,0.18,0.1667,0.51
313,14-01-11,1,0.2,0.197,0.44
314,14-01-11,1,0.22,0.197,0.37
315,14-01-11,1,0.22,0.2121,0.41
316,14-01-11,1,0.24,0.2424,0.38
317,14-01-11,1,0.22,0.2424,0.41
318,14-01-11,1,0.22,0.2273,0.41
319,14-01-11,1,0.2,0.2576,0.47
320,14-01-11,1,0.16,0.197,0.59
321,14-01-11,1,0.18,0.2424,0.59
322,14-01-11,1,0.16,0.2273,0.69
323,14-01-11,1,0.16,0.2273,0.69
324,14-01-11,1,0.18,0.2424,0.55
325,15-01-11,1,0.18,0.2424,0.55
326,15-01-11,1,0.16,0.197,0.59
327,15-01-11,1,0.16,0.197,0.59
328,15-01-11,1,0.16,0.2273,0.59
329,15-01-11,1,0.16,0.2273,0.59
330,15-01-11,1,0.16,0.2273,0.59
331,15-01-11,1,0.14,0.1667,0.63
332,15-01-11,1,0.14,0.2121,0.63
333,15-01-11,1,0.14,0.1515,0.63
334,15-01-11,1,0.16,0.1818,0.64
335,15-01-11,1,0.18,0.197,0.59
336,15-01-11,1,0.2,0.197,0.55
337,15-01-11,1,0.24,0.2273,0.48
338,15-01-11,1,0.28,0.2576,0.38
339,15-01-11,1,0.3,0.2879,0.39
340,15-01-11,1,0.32,0.3182,0.36
341,15-01-11,1,0.34,0.3333,0.34
342,15-01-11,1,0.32,0.303,0.36
343,15-01-11,1,0.3,0.2879,0.45
344,15-01-11,1,0.32,0.303,0.39
345,15-01-11,1,0.32,0.303,0.39
346,15-01-11,1,0.32,0.303,0.39
347,15-01-11,1,0.3,0.3182,0.42
348,15-01-11,1,0.3,0.2879,0.45
349,16-01-11,1,0.26,0.303,0.56
350,16-01-11,1,0.26,0.2727,0.56
351,16-01-11,1,0.26,0.2879,0.56
352,16-01-11,1,0.22,0.2727,0.69
353,16-01-11,1,0.26,0.2576,0.56
354,16-01-11,1,0.26,0.2576,0.56
355,16-01-11,1,0.26,0.2576,0.56
356,16-01-11,1,0.24,0.2121,0.56
357,16-01-11,1,0.22,0.2121,0.55
358,16-01-11,1,0.22,0.2121,0.51
359,16-01-11,1,0.22,0.2121,0.51
360,16-01-11,1,0.24,0.2273,0.44
361,16-01-11,1,0.24,0.2121,0.41
362,16-01-11,1,0.26,0.2273,0.35
363,16-01-11,1,0.28,0.2727,0.36
364,16-01-11,1,0.26,0.2424,0.38
365,16-01-11,1,0.24,0.2273,0.38
366,16-01-11,1,0.22,0.2121,0.37
367,16-01-11,1,0.2,0.2121,0.4
368,16-01-11,1,0.18,0.197,0.47
369,16-01-11,1,0.18,0.197,0.47
370,16-01-11,1,0.18,0.197,0.51
371,16-01-11,1,0.2,0.2121,0.49
372,16-01-11,1,0.2,0.2273,0.4
373,17-01-11,1,0.2,0.197,0.47
374,17-01-11,1,0.2,0.197,0.44
375,17-01-11,1,0.18,0.1667,0.43
376,17-01-11,1,0.18,0.1818,0.43
377,17-01-11,1,0.18,0.197,0.43
378,17-01-11,1,0.18,0.197,0.43
379,17-01-11,1,0.18,0.1818,0.43
380,17-01-11,1,0.16,0.1818,0.5
381,17-01-11,1,0.16,0.1515,0.47
382,17-01-11,1,0.16,0.1515,0.47
383,17-01-11,1,0.16,0.1515,0.5
384,17-01-11,1,0.16,0.1515,0.55
385,17-01-11,1,0.18,0.197,0.47
386,17-01-11,1,0.18,0.197,0.47
387,17-01-11,1,0.18,0.2121,0.43
388,17-01-11,1,0.2,0.2121,0.47
389,17-01-11,1,0.2,0.2121,0.47
390,17-01-11,1,0.2,0.197,0.51
391,17-01-11,1,0.18,0.1667,0.55
392,17-01-11,1,0.18,0.1818,0.59
393,17-01-11,1,0.16,0.1515,0.8
394,17-01-11,1,0.16,0.1515,0.8
395,17-01-11,1,0.14,0.1212,0.93
396,17-01-11,1,0.16,0.1364,0.86
397,18-01-11,1,0.2,0.1818,0.86
398,18-01-11,1,0.2,0.197,0.86
399,18-01-11,1,0.22,0.2273,0.8
400,18-01-11,1,0.22,0.2273,0.87
401,18-01-11,1,0.22,0.2273,0.87
402,18-01-11,1,0.22,0.2273,0.82
403,18-01-11,1,0.22,0.2273,0.8
404,18-01-11,1,0.22,0.2273,0.8
405,18-01-11,1,0.22,0.2727,0.87
406,18-01-11,1,0.22,0.2424,0.93
407,18-01-11,1,0.22,0.2576,0.93
408,18-01-11,1,0.22,0.2727,0.93
409,19-01-11,1,0.22,0.2727,0.93
410,19-01-11,1,0.22,0.2273,0.93
411,19-01-11,1,0.22,0.2273,0.93
412,19-01-11,1,0.22,0.2273,0.93
413,19-01-11,1,0.22,0.2576,0.93
414,19-01-11,1,0.22,0.2576,0.93
415,19-01-11,1,0.24,0.2576,0.92
416,19-01-11,1,0.24,0.2576,0.93
417,19-01-11,1,0.24,0.2576,0.93
418,19-01-11,1,0.26,0.2727,0.93
419,19-01-11,1,0.28,0.303,0.87
420,19-01-11,1,0.3,0.3182,0.81
421,19-01-11,1,0.4,0.4091,0.62
422,19-01-11,1,0.4,0.4091,0.58
423,19-01-11,1,0.4,0.4091,0.54
424,19-01-11,1,0.38,0.3939,0.58
425,19-01-11,1,0.36,0.3333,0.57
426,19-01-11,1,0.34,0.3182,0.61
427,19-01-11,1,0.32,0.2879,0.57
428,19-01-11,1,0.32,0.303,0.49
429,19-01-11,1,0.32,0.2879,0.49
430,19-01-11,1,0.3,0.303,0.52
431,19-01-11,1,0.3,0.2727,0.52
432,20-01-11,1,0.26,0.2273,0.56
433,20-01-11,1,0.26,0.2727,0.56
434,20-01-11,1,0.26,0.2727,0.56
435,20-01-11,1,0.26,0.2576,0.56
436,20-01-11,1,0.26,0.2576,0.56
437,20-01-11,1,0.24,0.2273,0.6
438,20-01-11,1,0.22,0.2121,0.6
439,20-01-11,1,0.22,0.2121,0.55
440,20-01-11,1,0.22,0.2121,0.55
441,20-01-11,1,0.24,0.2273,0.52
442,20-01-11,1,0.26,0.2273,0.48
443,20-01-11,1,0.28,0.2727,0.45
444,20-01-11,1,0.3,0.3333,0.42
445,20-01-11,1,0.28,0.2879,0.45
446,20-01-11,1,0.3,0.303,0.45
447,20-01-11,1,0.32,0.3182,0.45
448,20-01-11,1,0.3,0.303,0.49
449,20-01-11,1,0.3,0.3182,0.49
450,20-01-11,1,0.26,0.2576,0.56
451,20-01-11,1,0.26,0.2273,0.56
452,20-01-11,1,0.26,0.2424,0.6
453,20-01-11,1,0.24,0.2273,0.6
454,20-01-11,1,0.24,0.2121,0.65
455,20-01-11,1,0.24,0.2121,0.65
456,21-01-11,1,0.24,0.2273,0.7
457,21-01-11,1,0.24,0.2273,0.7
458,21-01-11,1,0.24,0.2424,0.75
459,21-01-11,1,0.22,0.2121,0.8
460,21-01-11,1,0.22,0.2576,0.87
461,21-01-11,1,0.24,0.197,0.6
462,21-01-11,1,0.22,0.2121,0.55
463,21-01-11,1,0.2,0.1818,0.51
464,21-01-11,1,0.2,0.1818,0.47
465,21-01-11,1,0.2,0.1818,0.51
466,21-01-11,1,0.2,0.1667,0.47
467,21-01-11,1,0.22,0.1818,0.41
468,21-01-11,1,0.22,0.1818,0.27
469,21-01-11,1,0.2,0.1515,0.21
470,21-01-11,1,0.2,0.1515,0.25
471,21-01-11,1,0.16,0.1212,0.26
472,21-01-11,1,0.16,0.1364,0.26
473,21-01-11,1,0.14,0.1212,0.28
474,21-01-11,1,0.12,0.1212,0.3
475,21-01-11,1,0.12,0.1061,0.3
476,21-01-11,1,0.1,0.0758,0.33
477,21-01-11,1,0.08,0.0758,0.38
478,21-01-11,1,0.06,0.0303,0.41
479,21-01-11,1,0.06,0.0455,0.38
480,22-01-11,1,0.04,0.0303,0.45
481,22-01-11,1,0.04,0,0.41
482,22-01-11,1,0.04,0.0303,0.41
483,22-01-11,1,0.04,0.0303,0.41
484,22-01-11,1,0.02,0.0152,0.48
485,22-01-11,1,0.02,0.0303,0.44
486,22-01-11,1,0.02,0.0152,0.44
487,22-01-11,1,0.02,0,0.44
488,22-01-11,1,0.04,0.0303,0.41
489,22-01-11,1,0.04,0.0606,0.41
490,22-01-11,1,0.06,0.0758,0.38
491,22-01-11,1,0.06,0.1061,0.38
492,22-01-11,1,0.08,0.1667,0.35
493,22-01-11,1,0.1,0.1364,0.33
494,22-01-11,1,0.12,0.1515,0.28
495,22-01-11,1,0.12,0.1364,0.28
496,22-01-11,1,0.12,0.197,0.28
497,22-01-11,1,0.08,0.0909,0.35
498,22-01-11,1,0.08,0.1061,0.35
499,22-01-11,1,0.06,0.0758,0.45
500,22-01-11,1,0.06,0.1061,0.41
501,22-01-11,1,0.06,0.1515,0.49
502,22-01-11,1,0.04,0.0758,0.57
503,23-01-11,1,0.04,0.0758,0.57
504,23-01-11,1,0.04,0.0758,0.57
505,23-01-11,1,0.02,0.0606,0.62
506,23-01-11,1,0.02,0.0606,0.62
507,23-01-11,1,0.04,0.0758,0.57
508,23-01-11,1,0.04,0.0758,0.57
509,23-01-11,1,0.08,0.1061,0.58
510,23-01-11,1,0.06,0.0758,0.62
511,23-01-11,1,0.1,0.0758,0.54
512,23-01-11,1,0.14,0.1061,0.46
513,23-01-11,1,0.14,0.1364,0.43
514,23-01-11,1,0.16,0.1212,0.37
515,23-01-11,1,0.14,0.1061,0.33
516,23-01-11,1,0.16,0.1364,0.28
517,23-01-11,1,0.16,0.1364,0.28
518,23-01-11,1,0.16,0.1364,0.26
519,23-01-11,1,0.14,0.1061,0.26
520,23-01-11,1,0.12,0.1212,0.3
521,23-01-11,1,0.12,0.1212,0.3
522,23-01-11,1,0.1,0.1061,0.36
523,23-01-11,1,0.1,0.1061,0.36
524,23-01-11,1,0.08,0.0909,0.38
525,23-01-11,1,0.06,0.0606,0.41
526,24-01-11,1,0.06,0.0606,0.41
527,24-01-11,1,0.04,0.0455,0.45
528,24-01-11,1,0.04,0.0303,0.45
529,24-01-11,1,0.02,0.0606,0.48
530,24-01-11,1,0.02,0.0606,0.48
531,24-01-11,1,0.02,0.0758,0.48
532,24-01-11,1,0.02,0.1212,0.48
533,24-01-11,1,0.04,0.1364,0.49
534,24-01-11,1,0.06,0.1515,0.41
535,24-01-11,1,0.1,0.1364,0.42
536,24-01-11,1,0.1,0.1212,0.46
537,24-01-11,1,0.12,0.1364,0.42
538,24-01-11,1,0.14,0.1364,0.43
539,24-01-11,1,0.14,0.1364,0.46
540,24-01-11,1,0.16,0.1667,0.4
541,24-01-11,1,0.16,0.1515,0.47
542,24-01-11,1,0.14,0.1212,0.5
543,24-01-11,1,0.14,0.1364,0.59
544,24-01-11,1,0.14,0.1515,0.54
545,24-01-11,1,0.14,0.1364,0.59
546,24-01-11,1,0.14,0.1515,0.63
547,24-01-11,1,0.14,0.1364,0.63
548,24-01-11,1,0.16,0.1515,0.64
549,25-01-11,1,0.16,0.1364,0.69
550,25-01-11,1,0.16,0.1667,0.69
551,25-01-11,1,0.16,0.1515,0.69
552,25-01-11,1,0.14,0.1667,0.74
553,25-01-11,1,0.14,0.1364,0.74
554,25-01-11,1,0.16,0.1818,0.74
555,25-01-11,1,0.16,0.1515,0.74
556,25-01-11,1,0.16,0.1818,0.74
557,25-01-11,1,0.2,0.2273,0.64
558,25-01-11,1,0.22,0.2424,0.6
559,25-01-11,1,0.24,0.2424,0.6
560,25-01-11,1,0.26,0.2879,0.56
561,25-01-11,1,0.26,0.2727,0.56
562,25-01-11,1,0.3,0.3333,0.45
563,25-01-11,1,0.32,0.3485,0.42
564,25-01-11,1,0.32,0.3485,0.42
565,25-01-11,1,0.3,0.3333,0.45
566,25-01-11,1,0.3,0.3182,0.49
567,25-01-11,1,0.26,0.2576,0.65
568,25-01-11,1,0.24,0.2273,0.65
569,25-01-11,1,0.24,0.2273,0.65
570,25-01-11,1,0.22,0.2273,0.64
571,25-01-11,1,0.22,0.2273,0.64
572,26-01-11,1,0.22,0.2273,0.69
573,26-01-11,1,0.24,0.2424,0.65
574,26-01-11,1,0.22,0.2273,0.69
575,26-01-11,1,0.2,0.1818,0.86
576,26-01-11,1,0.2,0.1818,0.86
577,26-01-11,1,0.22,0.2121,0.87
578,26-01-11,1,0.22,0.2121,0.87
579,26-01-11,1,0.22,0.2121,0.87
580,26-01-11,1,0.22,0.2121,0.93
581,26-01-11,1,0.22,0.197,0.93
582,26-01-11,1,0.22,0.197,0.93
583,26-01-11,1,0.22,0.197,0.93
584,26-01-11,1,0.22,0.197,0.93
585,26-01-11,1,0.22,0.1818,0.93
586,26-01-11,1,0.22,0.197,0.93
587,26-01-11,1,0.2,0.1818,0.93
588,27-01-11,1,0.22,0.2273,0.55
589,27-01-11,1,0.22,0.2424,0.55
590,27-01-11,1,0.2,0.2273,0.69
591,27-01-11,1,0.2,0.2273,0.69
592,27-01-11,1,0.18,0.2121,0.74
593,27-01-11,1,0.18,0.2121,0.74
594,27-01-11,1,0.18,0.2121,0.74
595,27-01-11,1,0.18,0.197,0.8
596,28-01-11,1,0.2,0.2121,0.75
597,28-01-11,1,0.2,0.2121,0.75
598,28-01-11,1,0.2,0.2121,0.75
599,28-01-11,1,0.2,0.2273,0.75
600,28-01-11,1,0.18,0.2121,0.8
601,28-01-11,1,0.18,0.197,0.8
602,28-01-11,1,0.16,0.197,0.86
603,28-01-11,1,0.16,0.197,0.86
604,28-01-11,1,0.18,0.2121,0.86
605,28-01-11,1,0.18,0.2121,0.86
606,28-01-11,1,0.18,0.2121,0.93
607,28-01-11,1,0.18,0.2121,0.93
608,28-01-11,1,0.18,0.2121,0.93
609,28-01-11,1,0.22,0.2727,0.8
610,28-01-11,1,0.2,0.2576,0.86
